match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1462885,2024-12-08,Bahamas,Argentina,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bahamas,bat,Bahamas,T20,completed
1462886,2024-12-08,Suriname,Brazil,"St Albans Club, Buenos Aires",Buenos Aires,Suriname,bat,Brazil,T20,completed
1462887,2024-12-08,Cayman Islands,Belize,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Cayman Islands,bat,Cayman Islands,T20,completed
1462888,2024-12-10,Cayman Islands,Suriname,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Suriname,field,Suriname,T20,completed
1462889,2024-12-10,Bahamas,Belize,"St Albans Club, Buenos Aires",Buenos Aires,Belize,field,Bahamas,T20,completed
1462890,2024-12-10,Mexico,Bermuda,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Mexico,bat,Bermuda,T20,completed
1462891,2024-12-10,Panama,Argentina,"St Albans Club, Buenos Aires",Buenos Aires,Panama,bat,Argentina,T20,completed
1462892,2024-12-11,Mexico,Cayman Islands,"St George's College Ground, Buenos Aires",Buenos Aires,Mexico,bat,Cayman Islands,T20,completed
1462893,2024-12-11,Bahamas,Panama,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bahamas,bat,Bahamas,T20,completed
1462894,2024-12-11,Bermuda,Brazil,"St George's College Ground, Buenos Aires",Buenos Aires,Brazil,field,Bermuda,T20,completed
1462895,2024-12-11,Suriname,Argentina,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Suriname,bat,Argentina,T20,completed
1462896,2024-12-12,Panama,Brazil,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Panama,bat,Brazil,T20,completed
1462897,2024-12-12,Suriname,Mexico,"St George's College Ground, Buenos Aires",Buenos Aires,Mexico,field,Mexico,T20,completed
1462898,2024-12-12,Bahamas,Cayman Islands,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bahamas,bat,Cayman Islands,T20,completed
1462899,2024-12-12,Bermuda,Belize,"St George's College Ground, Buenos Aires",Buenos Aires,Belize,field,Bermuda,T20,completed
1462900,2024-12-14,Cayman Islands,Brazil,"St Albans Club, Buenos Aires",Buenos Aires,Cayman Islands,bat,Cayman Islands,T20,completed
1462901,2024-12-14,Bahamas,Suriname,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bahamas,bat,Bahamas,T20,completed
1462902,2024-12-14,Panama,Belize,"St Albans Club, Buenos Aires",Buenos Aires,Panama,bat,Belize,T20,completed
1462903,2024-12-14,Argentina,Mexico,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Mexico,field,Argentina,T20,completed
1462904,2024-12-15,Brazil,Belize,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Brazil,bat,Belize,T20,completed
1462905,2024-12-15,Cayman Islands,Argentina,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Argentina,field,Cayman Islands,T20,completed
1462906,2024-12-15,Bermuda,Bahamas,"Belgrano Athletic Club Ground, Buenos Aires",Buenos Aires,Bermuda,bat,Bermuda,T20,completed
1462907,2024-12-15,Panama,Mexico,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Mexico,field,Panama,T20,completed
1462908,2024-12-16,Bermuda,Cayman Islands,"St Albans Club, Buenos Aires",Buenos Aires,Bermuda,bat,Bermuda,T20,completed
